Station Name,Station Id,State Code,State Name,Network Code,Network Name,Elevation,Latitude,Longitude,County Name,County Code,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name,Report Time Zone (Offset from GMT),DCO,Acton Id,SHEF Id,Start Date,End Date
Apishapa,303,CO,COLORADO,SNTL,SNOTEL,10027,37.33067,-105.06766,Huerfano,055,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020006,Huerfano,1102000604,Upper Cucharas River,110200060406,Middle Creek-Cucharas River,-8.0,CO,05M07S,APSC2,1979-10-01,2100-01-01
Arapaho Ridge,1030,CO,COLORADO,SNTL,SNOTEL,10976,40.35098,-106.38141,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000106,Troublesome Creek-Colorado River,140100010604,Rabbit Ears Creek-Troublesome Creek,-8.0,CO,06J08S,ARPC2,2002-08-01,2100-01-01
Bear Lake,322,CO,COLORADO,SNTL,SNOTEL,9522,40.31176,-105.64670,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190006,Big Thompson,1019000602,Headwaters Big Thompson River,101900060201,Glacier Creek,-8.0,CO,05J39S,BLKC2,1979-10-01,2100-01-01
Bear River,1061,CO,COLORADO,SNTL,SNOTEL,9112,40.06152,-107.00948,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000101,Headwaters Yampa River,140500010102,Yamcolo Reservoir-Bear River,-8.0,CO,07J03S,BRRC2,2004-10-01,2100-01-01
Beartown,327,CO,COLORADO,SNTL,SNOTEL,11600,37.71433,-107.51240,San Juan,111,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010001,Rio Grande Headwaters,1301000101,Headwaters Rio Grande,130100010104,Bear Creek-Rio Grande,-8.0,CO,07M32S,BRTC2,1979-10-01,2100-01-01
Beaver Ck Village,1041,CO,COLORADO,SNTL,SNOTEL,8565,39.59871,-106.51113,Eagle,037,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010003,Eagle,1401000303,Middle Eagle River,140100030301,Beaver Creek-Eagle Creek,-8.0,CO,06K45S,BCVC2,2002-11-01,2100-01-01
Berthoud Summit,335,CO,COLORADO,SNTL,SNOTEL,11314,39.80364,-105.77786,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000102,Fraser River,140100010202,Upper Fraser River,-8.0,CO,05K14S,BTSC2,1963-09-01,2100-01-01
Bison Lake,345,CO,COLORADO,SNTL,SNOTEL,10964,39.76458,-107.35628,Garfield,045,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000114,Deep Creek,140100011401,Headwaters Deep Creek,-8.0,CO,07K12S,BLSC2,1985-09-30,2100-01-01
Black Mesa,1185,CO,COLORADO,SNTL,SNOTEL,11564,37.78968,-108.18376,Dolores,033,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000201,West Dolores River,140300020103,Fish Creek,-8.0,CO,08M12S,BMSC2,2011-07-28,2100-01-01
Black Mountain,1161,CO,COLORADO,SNTL,SNOTEL,8980,40.88790,-105.66404,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000705,Dale Creek,101900070501,Upper Dale Creek,-8.0,CO,05J28S,BMNC2,2010-10-01,2100-01-01
