#
#
# US Geological Survey
# retrieved: 2023-05-15 17:14:31 -04:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	06611000	COLORADO CREEK NEAR SPICER, CO.	ST	40.44192626	-106.5019794	F	NAD83	 8381.00	 15	NGVD29	10180001
USGS	06611100	GRIZZLY CREEK NEAR SPICER, CO.	ST	40.49331438	-106.4497549	F	NAD83	 8234.00	 15	NGVD29	10180001
USGS	06611200	BUFFALO CREEK NEAR HEBRON, CO.	ST	40.5230357	-106.3691966	F	NAD83	 8190.00	 15	NGVD29	10180001
USGS	06611300	GRIZZLY CREEK NEAR HEBRON, CO.	ST	40.55747954	-106.3900305	F	NAD83	 8130.00	 15	NGVD29	10180001
USGS	06611500	GRIZZLY CREEK NEAR WALDEN, CO	ST	40.6355335	-106.396697	F	NAD83	 8060	 15	NGVD29	10180001
USGS	06611700	LITTLE GRIZZLY CREEK NEAR COALMONT, CO.	ST	40.5513672	-106.616429	F	NAD83	 8625.00	 15	NGVD29	10180001
USGS	06611800	LITTLE GRIZZLY CREEK ABOVE COALMONT, CO.	ST	40.5733126	-106.5100346	F	NAD83	 8200.00	 15	NGVD29	10180001
USGS	06611900	LITTLE GRIZZLY CREEK ABOVE HEBRON, CO.	ST	40.5824791	-106.4500324	F	NAD83	 8120.00	 15	NGVD29	10180001
USGS	06612000	LITTLE GRIZZLY CREEK NEAR HEBRON, CO.	ST	40.6285892	-106.403364	F	NAD83	 8070.00	 15	NGVD29	10180001
USGS	06612500	ROARING FORK NEAR WALDEN, CO.	ST	40.68303238	-106.460588	F	NAD83	 8037.44	 15	NGVD29	10180001
USGS	06613000	NORTH PLATTE RIVER NEAR WALDEN, CO.	ST	40.6988655	-106.4155864	F	NAD83	 8000.00	 15	NGVD29	10180001
USGS	06613500	NORTH FORK NORTH PLATTE RIVER AT HIGHO, CO.	ST	40.73997537	-106.4869776	F	NAD83	 8125.00	 15	NGVD29	10180001
USGS	06613800	HELL CREEK NEAR WALDEN, CO	ST	40.72788889	-106.4868056	S	NAD83	 8119	4.3	NAVD88	10180001
USGS	06613850	SPRING GULCH NEAR WALDEN, CO	ST	40.72755	-106.4868889	S	NAD83	 8124	4.3	NAVD88	10180001
USGS	06613880	HELL CREEK BELOW SPRING GULCH NR WALDEN, CO	ST	40.72755556	-106.4863333	S	NAD83	 8130	4.3	NAVD88	10180001
USGS	06613950	HELL CREEK ABV NF NORTH PLATTE RIVER NR WALDEN, CO	ST	40.7327222	-106.4250444	S	NAD83	 8010	4.3	NAVD88	10180001
