#
#
# US Geological Survey
# retrieved: 2023-05-15 17:19:23 -04:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	10039500	BEAR RIVER AT BORDER, WY	ST	42.21104338	-111.0538022	S	NAD83	6056.85	.23	NAVD88	16010102
USGS	10042500	THOMAS FORK NR RAYMOND ID	ST	42.25888889	-111.0761111	S	NAD83	 6080.	20.	NGVD29	16010102
USGS	10042700	THOMAS FORK NR BORDER WY	ST	42.21548747	-111.0721365	F	NAD83				16010102
USGS	10043300	SHEEP CREEK TRIBUTARY NEAR BORDER, WY	ST	42.21798688	-111.1118608	F	NAD83				16010102
USGS	10043350	SHEEP CREEK TRIB NO 2 NR BORDER WY	ST	42.21798687	-111.1126942	F	NAD83	 6240.	20.	NGVD29	16010102
USGS	10044000	BEAR RIVER AT HARER, ID	ST	42.1971533	-111.1688081	F	NAD83	 6000.00	 20	NGVD29	16010102
USGS	10044300	DINGLE INLET CANAL NEAR DINGLE, ID	ST-CA	42.2054851	-111.2696464	F	NAD83	 5950	 20	NGVD29	16010201
USGS	10044500	BEAR RIVER AT DINGLE ID	ST	42.2249295	-111.2368672	F	NAD83	 5950.	20.	NGVD29	16010201
USGS	10046000	RAINBOW INLET CANAL NEAR DINGLE, ID	ST-CA	42.22992858	-111.2960363	F	NAD83	 5922.00	 20	NGVD29	16010201
USGS	10046500	BEAR RIVER BL STEWART DAM NR MONTPELIER ID	ST	42.25305556	-111.2897222	S	NAD83	 5950.	20.	NGVD29	16010201
