#
#
# US Geological Survey
# retrieved: 2023-05-15 17:23:52 -04:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	00270740	N Agricultural Research Cntr nr Havre MT (mt98)	AT	48.4991634	-109.7982607	U	NAD83	 2673.3	 .1	NGVD29	10050004
USGS	00270760	Mc Beath Residence nr Clancy MT (mt07)	AT	46.4852098	-112.0683323	U	NAD83	 4885.1	 .1	NGVD29	10030101
USGS	05010000	Belly River at international boundary	ST	48.99709167	-113.6823556	1	NAD83	 4500	100	NGVD29	09040002
USGS	05010500	North Fork Belly River at international boundary	ST	48.9882472	-113.7629167	1	NAD83	 5100	100	NGVD29	09040002
USGS	05011500	Waterton River near international boundary	ST	48.95495	-113.899861	1	NAD83	 4200	100	NGVD29	09040002
USGS	05012000	Street Creek at international boundary	ST	48.9879694	-113.8787306	1	NAD83	 4400	100	NGVD29	09040002
USGS	05012500	Boundary Creek at international boundary	ST	48.9958361	-113.9076806	1	NAD83	 4300	100	NGVD29	09040002
USGS	05013500	ST. Mary Lake near ST. Mary MT	ST	48.73608815	-113.4314906	U	NAD83	 4470	 10	NGVD29	10010002
USGS	05013600	St. Mary River near St. Mary MT	ST	48.7260111	-113.4356806	1	NAD83	 4470	 10	NGVD29	10010002
USGS	05013630	Divide Mountain Precipitation nr St Mary, MT	AT	48.66886317	-113.4114903	S	NAD83	 7220.	 10	NGVD29	10010002
USGS	05013640	Divide Creek near St. Mary, MT	ST	48.69219745	-113.4226016	5	NAD83	 5200	 10	NGVD29	10010002
USGS	05013650	Divide Creek at St. Mary, MT	ST	48.74053277	-113.4292683	5	NAD83	 4580	 10	NGVD29	10010002
USGS	05013700	St. Mary River ab Swiftcurrent Creek nr Babb	ST	48.85088056	-113.416175	1	NAD83	 4460	 10	NGVD29	09040001
USGS	05013900	Grinnell C at G Glacier nr Many Glacier MT	ST	48.757675	-113.7246694	1	NAD83	 6322	  1	NGVD29	09040001
USGS	05014000	Grinnell Creek nr. Many Glacier MT	ST	48.77011389	-113.6986194	1	NAD83	 4920	 10	NGVD29	09040001
USGS	05014300	Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier	ST	48.7954444	-113.6805833	1	NAD83	 4920	 20	NAVD88	09040001
USGS	05014500	Swiftcurrent Creek at Many Glacier MT	ST	48.7988333	-113.6567306	1	NAD83	 4876.78	.01	NGVD29	09040001
USGS	05015000	Canyon Creek near Many Glacier MT	ST	48.7960472	-113.6241889	1	NAD83	 4900	100	NGVD29	09040001
USGS	05015500	Lake Sherburne at Sherburne MT	ST	48.8280944	-113.5219833	1	NAD83	 4709.45	.01	NGVD29	10010002
