#
#
# US Geological Survey
# retrieved: 2023-05-15 17:17:55 -04:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	09163527	WEST BITTER CREEK NEAR HARLEY DOME, UTAH	ST	39.34303239	-109.1473365	F	NAD83	 5480.00	 20	NGVD29	14030001
USGS	09163530	COLORADO RIVER BELOW COLORADO-UTAH STATE LINE	ST	39.08831747	-109.1009454	F	NAD83				14030001
USGS	09163550	HARLEY DOME WASH NEAR HARLEY DOME, UTAH	ST	39.15692676	-109.1451143	F	NAD83	 4700.00	 20	NGVD29	14030001
USGS	09163675	COTTONWOOD WASH AT I-70, NEAR CISCO, UTAH	ST	39.08165184	-109.2176153	F	NAD83				14030001
USGS	09163700	CISCO WASH NEAR CISCO, UTAH	ST	38.9638733	-109.3367837	F	NAD83	 4350.00	 20	NGVD29	14030001
USGS	09169000	TWOMILE CREEK NEAR LA SAL, UT.	ST	38.3552662	-109.1201093	S	NAD83	 7040.00	.40	NGVD29	14030002
USGS	09177500	TAYLOR CREEK NEAR GATEWAY, CO.	ST	38.518876	-109.1098333	S	NAD83	 8120.00	.40	NGVD29	14030004
USGS	09178000	DEEP CREEK NEAR PARADOX, CO.	ST	38.49526497	-109.1481675	S	NAD83	 8659.59	.40	NGVD29	14030004
USGS	09180000	DOLORES RIVER NEAR CISCO, UT	ST	38.79720805	-109.1951142	F	NAD83	 4165.00	 20	NGVD29	14030004
USGS	09180500	COLORADO RIVER NEAR CISCO, UT	ST	38.81054095	-109.2934493	F	NAD83	4092.35	.24	NAVD88	14030005
USGS	09180920	ONION CREEK ABOVE ONION C BRIDGE NR MOAB, UT	ST	38.69693046	-109.2551154	F	NAD83				14030005
USGS	09180970	ONION CREEK BELOW ONION CRK BRIDGE NR MOAB, UT	ST	38.70637365	-109.3151161	F	NAD83				14030005
USGS	09181000	ONION CREEK NEAR MOAB, UTAH	ST	38.72498404	-109.3451166	F	NAD83	 4120.00	 20	NGVD29	14030005
USGS	09181500	PROFESSOR CREEK NEAR MOAB, UT	ST	38.72915	-109.3756725	F	NAD83	 4070.00	 20	NGVD29	14030005
USGS	09182000	CASTLE CREEK ABOVE DIVERSIONS, NEAR MOAB, UTAH	ST	38.5927639	-109.2656708	F	NAD83	 7070.00	 20	NGVD29	14030005
USGS	09182200	CASTLE CREEK BELOW CASTLETON NEAR MOAB, UT	ST	38.6124849	-109.332338	S	NAD83	 5600	 20	NGVD29	14030005
USGS	09182400	CASTLE CREEK BELOW CASTLE VALLEY NEAR MOAB, UT	ST	38.6738712	-109.4501174	S	NAD83	 4120	 20	NGVD29	14030005
USGS	09182500	CASTLE CREEK NEAR MOAB, UTAH	ST	38.67914895	-109.4492841	F	NAD83	 4060.00	 20	NGVD29	14030005
USGS	09182600	SALT WASH NEAR THOMPSON, UTAH	ST	38.9527509	-109.6590119	F	NAD83	 4950.00	 20	NGVD29	14030005
USGS	09182880	COLORADO RIVER AT HIGHWAY BRIDGE NR MOAB, UT	ST	38.6038705	-109.5778956	F	NAD83				14030005
USGS	09182900	COURTHOUSE WASH AT ARCHES HWY CROSS NR MOAB, UT	ST	38.64859187	-109.5992853	F	NAD83	 4100.00	 20	NGVD29	14030005
USGS	09183000	COURTHOUSE WASH NEAR MOAB, UTAH	ST	38.61275926	-109.5798402	F	NAD83	 3980.00	 20	NGVD29	14030005
USGS	09183210	COLORADO R ABOVE MILL CREEK NEAR MOAB, UTAH	ST	38.57525984	-109.5787286	F	NAD83				14030005
USGS	09183500	MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT	ST	38.4830403	-109.4040043	S	NAD83	 5500.00	 20	NGVD29	14030005
USGS	09183600	MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT	ST	38.48571796	-109.4111044	1	NAD83	 5341	  5	NGVD29	14030005
USGS	09184000	MILL CREEK NEAR MOAB, UT	ST	38.56220477	-109.5140057	S	NAD83	 4240.00	 20	NGVD29	14030005
USGS	09184500	PACK CREEK AT M4 RANCH, NR MOAB, UTAH	ST	38.43609688	-109.3548368	F	NAD83	 6140.00	 20	NGVD29	14030005
USGS	09184600	PACK CREEK AT PACK CREEK ROAD BRIDGE NEAR MOAB, UT	ST	38.44580556	-109.38525	1	NAD83	5702	4.3	NAVD88	14030005
USGS	09185000	PACK CREEK NEAR MOAB, UTAH	ST	38.5402606	-109.500672	F	NAD83				14030005
USGS	09185100	MILL CREEK BLW PACK CREEK NR MOUTH AT MOAB, UT	ST	38.5732861	-109.5672083	T	NAD83	3960.74	.27	NAVD88	14030005
USGS	09185200	KANE SPRINGS CANYON NEAR MOAB, UTAH	ST	38.39998497	-109.4506707	F	NAD83	 5120.00	 20	NGVD29	14030005
USGS	09185500	HATCH WASH NEAR LA SAL, UTAH	ST	38.24332	-109.4401142	F	NAD83	 5500.00	 20	NGVD29	14030005
USGS	09185600	COLORADO RIVER AT POTASH, UT	ST	38.5047222	-109.6583333	S	NAD83	3926.29	.10	NAVD88	14030005
