#
#
# US Geological Survey
# retrieved: 2023-05-15 17:18:31 -04:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	06036795	UNNAMED TR FR HOT SP NR WELL COF I NR OF YNP	ST	44.43493365	-110.8071555	S	NAD83				10020007
USGS	06036800	Firehole River above Kepler Cascades, YNP	ST	44.4424337	-110.8049332	S	NAD83				10020007
USGS	06036805	Firehole River at Old Faithful, YNP	ST	44.4593333	-110.8222722	1	NAD83	 7352	  5	NAVD88	10020007
USGS	06036813	Iron Spring Creek near Old Faithful, YNP, WY	ST	44.4613213	-110.8529893	S	NAD83				10020007
USGS	06036822	FIREHOLE R BEL UPPER GEYSER BASIN, YNP	ST	44.48576588	-110.8529892	S	NAD83				10020007
USGS	06036830	Spring at Whiskey Flats Picnic Area, YNP, WY	SP	44.5310444	-110.8260443	S	NAD83				10020007
USGS	06036840	TANGLED CR NR FOUNTAIN P.P. YNP, WY	ST	44.54437818	-110.8090997	T	NAD83				10020007
USGS	06036850	OLD HOTEL SPRING NR FOUNTAIN PAINT POT, YNP	ST	44.5583333	-110.8030556	R	NAD83	 7267	 10	NAVD88	10020007
USGS	06036860	Fairy Creek near Fountain Paint Pot, YNP, WY	ST	44.56271065	-110.8413225	S	NAD83				10020007
USGS	06036865	Sentinel Creek near Fountain Paint Pot, YNP, WY	ST	44.5670833	-110.8436111	R	NAD83	 7179	  5	NAVD88	10020007
USGS	06036900	Nez Perce Creek near Fountain Paint Pot, YNP, WY	ST	44.5846566	-110.7788215	S	NAD83				10020007
USGS	06036903	FIREHOLE R BEL LOWER GEYSER BASIN, YNP	ST	44.59604418	-110.831878	S	NAD83				10020007
USGS	06036905	Firehole River near West Yellowstone MT	ST	44.6201833	-110.8635028	1	NAD83	 7050	 10	NAVD88	10020007
USGS	06036910	Firehole R at Madison Jct, nr W Yellowstone, YNP	ST	44.64021	-110.8657679	S	NAD83				10020007
USGS	06036915	SUPPLY SPRING AT MADISON JCT. YNP	ST	44.6349323	-110.86299	S	NAD83				10020007
USGS	06036925	CASTLE CR BL DIV DAM, NR NORRIS JCT, YNP	ST	44.7063246	-110.6738192	S	NAD83	 7799	 10	NAVD88	10020007
USGS	06036927	CASTLE C TURNAROUND IN RD, NR NORRIS JCT, YNP	ST	44.71377778	-110.6807778	R	NAD83	 7616	 10	NAVD88	10020007
USGS	06036930	Gibbon River at Norris Junction, YNP	ST	44.72965757	-110.6896528	S	NAD83				10020007
USGS	06036940	Tantalus Creek at Norris Junction, YNP	ST	44.732725	-110.7132528	1	NAD83	 7460	  5	NAVD88	10020007
USGS	06036950	GIBBON R BL CANYON CR, NR WEST YELLOWSTONE, MT	ST	44.6476111	-110.77375	R	NAD83	 6977	 10	NAVD88	10020007
USGS	06037000	Gibbon River near West Yellowstone MT	ST	44.64910556	-110.7847361	1	NAD83	 6940	 10	NGVD29	10020007
USGS	06037100	Gibbon River at Madison Jct, YNP	ST	44.6408	-110.8610639	1	NAD83	 6800	 10	NAVD88	10020007
USGS	06042890	Unnamed Spring 4.0 mi up Bighorn Pass Trail, YNP	SP	44.91909729	-110.9729964	S	NAD83				10020008
USGS	06042900	Unnamed Spring 3.0 mi up Bighorn Pass Trail, YNP	SP	44.9171524	-110.9949415	S	NAD83				10020008
USGS	06042910	Gallatin River tributary near MT-WY stateline, YNP	ST	44.91520757	-111.0246648	S	NAD83				10020008
USGS	06042920	Gallatin River near WY-MT stateline, YNP	ST	44.9273333	-111.0459167	R	NAD83	 7232	 10	NAVD88	10020008
USGS	06042930	Fan Creek ab unnamed trib, nr WY-MT stateline, YNP	ST	44.95825	-111.0250556	R	NAD83	 7233	 10	NAVD88	10020008
USGS	06042935	Unnamed trib to Fan Creek, nr WY-MT stateline, YNP	ST	44.95742997	-111.0227209	S	NAD83				10020008
USGS	06185800	YELLOWSTONE R AB CABIN C	ST	44.288001	-110.1488013	S	NAD83				10070001
USGS	06185810	CABIN C AT MOUTH NR TRAIL LK YNP WYO	ST	44.2963343	-110.1524126	S	NAD83				10070001
USGS	06185830	BEAVER DAM CR NR MOUTH	ST	44.3232784	-110.1846359	S	NAD83				10070001
USGS	06185850	S E ARM YELLOWSTONE LAKE	LK	44.39077766	-110.2576942	S	NAD83				10070001
USGS	06185955	ARNICA C NR W THUMB, YNP, WY	ST	44.47771816	-110.5424288	T	NAD83				10070001
USGS	06185970	CUB C AT EAST ENTRANCE RD, YNP, WY	ST	44.50411059	-110.1951925	T	NAD83				10070001
USGS	06185975	YELLOWSTONE LK NR SAND POINT YNP WYO	ST	44.4979977	-110.4177022	S	NAD83				10070001
USGS	06185980	YELLOWSTONE LK NR LAKE BUTTE YNP WYO	ST	44.51633216	-110.2768622	S	NAD83				10070001
USGS	06185985	BRIDGE CR NR FISHING BRIDGE YNP, WY	ST	44.5299415	-110.4346472	S	NAD83				10070001
USGS	06185991	ASTRINGENT C AT MOUTH, YNP, WYO.	ST	44.5924425	-110.2474164	S	NAD83				10070001
USGS	06185993	PELICAN C BL ASTRINGENT C. YNP, WYO.	ST	44.57605377	-110.2551944	S	NAD83				10070001
USGS	06186000	Yellowstone Lake at Bridge Bay YNP	LK	44.53327477	-110.4396474	U	NAD83	 7729.45	.01	NGVD29	10070001
USGS	06186493	PELICAN C. BL ASTRINGENT C, YNP, WY	ST	44.56772056	-110.2551945	S	NAD83				10070001
USGS	06186500	Yellowstone River at Yellowstone Lk Outlet YNP	ST	44.56709167	-110.3804056	1	NAD83	 7727.77	.01	NGVD29	10070001
USGS	06187000	Yellowstone River near Canyon Hotel YNP	ST	44.710025	-110.5019167	1	NAD83	 7620	 10	NGVD29	10070001
USGS	06187035	CASCADE CR TR AB DIV DAM NR CANYON VILLAGE	ST	44.76021565	-110.4724246	S	NAD83				10070001
USGS	06187050	CASCADE C. AB. DIV. NR. CANYON VILLAGE, YNP,	ST	44.7402155	-110.5004813	S	NAD83				10070001
USGS	06187100	SULPHUR CR TR AB DIV DAM NR CANYON VILLAGE	ST	44.76577126	-110.465202	S	NAD83				10070001
USGS	06187460	SUPPLY SPRING NEAR TOWER FALL, YNP	ST	44.86188266	-110.3929768	S	NAD83	 7000	 20	NGVD29	10070001
USGS	06187500	Tower Creek at Tower Falls YNP	ST	44.8922694	-110.3875556	1	NAD83	 6400	100	NGVD29	10070001
USGS	06187550	Yellowstone River at Tower Junction YNP	ST	44.92041667	-110.4044389	1	NAD83	 6010	 10	NGVD29	10070001
USGS	06187820	LAMAR RIVER ABOVE WILLOW CREEK, YNP	ST	44.70883107	-110.0813	T	NAD83	 7155	 20	NGVD29	10070001
USGS	06187825	WILLOW CREEK AT MOUTH, YNP	ST	44.70883106	-110.0826889	T	NAD83	 7155	 20	NGVD29	10070001
USGS	06187840	TIMOTHY CREEK AT MOUTH, YNP	ST	44.737164	-110.0904669	S	NAD83	 7060	 20	NGVD29	10070001
USGS	06187850	MILLER CREEK AT MOUTH, YNP	ST	44.76744137	-110.103245	S	NAD83	 6960	 20	NGVD29	10070001
USGS	06187860	CALFEE CREEK AT MOUTH, YNP	ST	44.7824411	-110.1126896	S	NAD83	 6955	 20	NGVD29	10070001
USGS	06187880	CACHE CREEK AT MOUTH, YNP	ST	44.831607	-110.1476905	S	NAD83	 6720	 20	NGVD29	10070001
USGS	06187920	PEBBLE CREEK NEAR TOWER JUNCTION, YNP	ST	44.9186111	-110.1130556	S	NAD83	 6874	 20	NAVD88	10070001
USGS	06187940	SODA BUTTE SPRING AT SODA BUTTE, YNP	ST	44.87805556	-110.1522222	S	NAD83	 6647	 10	NAVD88	10070001
USGS	06187950	Soda Butte Cr nr Lamar Ranger Station YNP	ST	44.86898889	-110.164775	1	NAD83	 6630	  1	NGVD29	10070001
USGS	06187980	SLOUGH CREEK NEAR TOWER JUNCTION, YNP	ST	44.94938275	-110.3049175	S	NAD83	 6230	 20	NGVD29	10070001
USGS	06188000	Lamar River nr Tower Ranger Station YNP	ST	44.92817778	-110.3942694	1	NAD83	 6000	  1	NAVD88	10070001
